|team|fga
860|LA Rams|2
861|Tampa Bay|1
862|Houston|2
863|Indianapolis|1
864|Buffalo|2
865|Carolina|0
866|NY Giants|2
867|Minnesota|0
868|Oakland|5
869|New England|2
870|Cincinnati|1
871|Chicago|3
872|Minnesota|1
873|Pittsburgh|2
874|Philadelphia|1
875|Detroit|0
876|Chicago|2
877|Green Bay|2
878|Tennessee|3
879|NY Jets|2
880|LA Rams|0
881|Cleveland|0
882|Kansas City|3
883|Dallas|1
884|Denver|2
885|Arizona|1
886|LA Chargers|1
887|Indianapolis|5
888|Cincinnati|4
889|Houston|1
890|Green Bay|2
891|Cleveland|5
892|Tennessee|1
893|Jacksonville|0
894|Washington|2
895|Oakland|1
896|Seattle|1
897|NY Giants|3
898|Atlanta|6
899|New Orleans|1
900|Jacksonville|2
901|New Orleans|1
902|New England|3
903|Carolina|1
904|Baltimore|2
905|Miami|1
906|Tampa Bay|2
907|Cincinnati|1
908|Minnesota|4
909|Seattle|0
910|Philadelphia|1
911|San Francisco|2
912|Chicago|3
913|Pittsburgh|3
914|Buffalo|4
915|LA Rams|0
916|Detroit|2
917|Kansas City|2
918|Houston|5
919|Atlanta|3
920|Washington|1
921|Dallas|3
922|Carolina|1
923|Oakland|1
924|New England|2
925|Denver|4
926|Pittsburgh|1
927|San Francisco|3
928|Detroit|2
929|Dallas|3
930|NY Jets|1
931|Chicago|3
932|Cleveland|2
933|Cincinnati|3
934|Tampa Bay|4
935|Jacksonville|1
936|Miami|1
937|Kansas City|3
938|Indianapolis|2
939|LA Chargers|2
940|Arizona|1
941|New Orleans|0
942|NY Giants|1
943|Philadelphia|3
944|Atlanta|3
945|LA Rams|3
946|Buffalo|2
947|Green Bay|4
948|Tennessee|1
949|Miami|3
950|Chicago|1
951|Kansas City|2
952|Detroit|4
953|NY Jets|2
954|Denver|2
955|Baltimore|2
956|Oakland|2
957|LA Chargers|3
958|Dallas|1
959|Washington|1
960|Oakland|0
961|Buffalo|2
962|Jacksonville|2
963|Indianapolis|2
964|Pittsburgh|1
965|Cleveland|3
966|Tampa Bay|0
967|Cincinnati|4
968|Washington|3
969|Carolina|3
970|Minnesota|0
971|San Francisco|2
972|Seattle|3
973|NY Giants|2
974|Green Bay|3
975|New England|0
976|Philadelphia|2
977|LA Rams|1
978|Baltimore|1
979|Houston|6
980|New Orleans|2
981|Cleveland|0
982|Atlanta|2
983|Chicago|2
984|Miami|3
985|Arizona|1
986|LA Chargers|0
987|Buffalo|1
988|Oakland|6
989|Dallas|2
990|New England|2
991|Tennessee|1
992|Detroit|3
993|Jacksonville|4
994|Dallas|1
995|Pittsburgh|3
996|Green Bay|2
997|Miami|2
998|Houston|2
999|Kansas City|3
1000|Tampa Bay|2
1001|Philadelphia|2
1002|NY Jets|1
1003|Carolina|2
1004|Denver|2
1005|Arizona|2
1006|Baltimore|4
1007|Seattle|0
1008|Atlanta|1
1009|Buffalo|2
1010|Tennessee|1
1011|Indianapolis|0
1012|Pittsburgh|1
1013|New Orleans|1
1014|Detroit|1
1015|Cincinnati|3
1016|NY Giants|0
1017|LA Chargers|1
1018|Minnesota|3
1019|New England|0
1020|San Francisco|4
1021|Denver|1
1022|Seattle|2
1023|Washington|1
1024|Baltimore|2
1025|Minnesota|1
1026|Miami|3
1027|New England|3
1028|Cincinnati|0
1029|Oakland|2
1030|Tennessee|3
1031|Tampa Bay|1
1032|Kansas City|0
1033|Atlanta|1
1034|Seattle|2
1035|Arizona|2
1036|Green Bay|0
1037|NY Giants|1
1038|Philadelphia|1
1039|Houston|2
1040|NY Jets|1
1041|Washington|1
1042|Dallas|3
1043|Cleveland|2
1044|Carolina|3
1045|LA Chargers|4
1046|Miami|1
1047|LA Rams|1
1048|Tennessee|2
1049|Minnesota|3
1050|New Orleans|4
1051|Detroit|2
1052|Jacksonville|1
1053|Denver|2
1054|San Francisco|1
1055|Pittsburgh|1
1056|Kansas City|5
1057|Tampa Bay|2
1058|LA Rams|0
1059|Houston|3
1060|Arizona|0
1061|LA Chargers|2
1062|Green Bay|3
1063|Detroit|2
1064|NY Giants|1
1065|Cleveland|1
1066|Atlanta|4
1067|Buffalo|4
1068|Indianapolis|3
1069|Jacksonville|1
1070|Chicago|2
1071|Oakland|0
1072|San Francisco|2
1073|Baltimore|2
1074|NY Giants|1
1075|Seattle|3
1076|Arizona|2
1077|Chicago|3
1078|Indianapolis|3
1079|Cincinnati|2
1080|Pittsburgh|2
1081|NY Jets|2
1082|Philadelphia|3
1083|Washington|1
1084|Dallas|1
1085|New England|3
1086|Miami|1
1087|Buffalo|1
1088|Jacksonville|2
1089|Philadelphia|5
1090|Baltimore|4
1091|Detroit|1
1092|New Orleans|4
1093|New England|2
1094|Kansas City|4
1095|Seattle|5
1096|Carolina|2
1097|Denver|3
1098|Houston|2
1099|LA Chargers|2
1100|NY Jets|3
1101|NY Giants|0
1102|Green Bay|5
1103|Detroit|1
1104|Cincinnati|3
1105|Oakland|1
1106|Pittsburgh|4
1107|Philadelphia|1
1108|LA Rams|1
1109|Carolina|0
1110|Jacksonville|2
1111|Tennessee|2
1112|Arizona|0
1113|New Orleans|2
1114|Washington|4
1115|Indianapolis|3
1116|Seattle|2
1117|Tampa Bay|3
1118|Buffalo|3
1119|Cincinnati|3
1120|Dallas|1
1121|LA Chargers|1
1122|LA Rams|2
1123|New England|2
1124|Chicago|3
1125|San Francisco|1
1126|Baltimore|3
1127|Cleveland|2
1128|Houston|3
1129|Denver|2
1130|Minnesota|1
1131|Carolina|1
1132|Miami|3
1133|Buffalo|2
1134|Cleveland|1
1135|NY Giants|5
1136|Dallas|3
1137|San Francisco|0
1138|Pittsburgh|3
1139|NY Jets|3
1140|Atlanta|2
1141|Washington|0
1142|Green Bay|3
1143|Seattle|0
1144|Cincinnati|2
1145|Tennessee|0
1146|Kansas City|3
1147|LA Chargers|1
1148|Atlanta|1
1149|Minnesota|1
1150|New Orleans|3
1151|Philadelphia|0
1152|Tampa Bay|1
1153|Baltimore|1
1154|Pittsburgh|1
1155|Indianapolis|3
1156|Chicago|2
1157|Washington|2
1158|Philadelphia|3
1159|Jacksonville|2
1160|Cincinnati|2
1161|Buffalo|1
1162|Oakland|2
1163|Seattle|4
1164|Detroit|1
1165|LA Rams|1
1166|Carolina|2
1167|Denver|0
1168|Houston|2
1169|Dallas|1
1170|Miami|2
1171|Indianapolis|3
1172|Baltimore|2
1173|Detroit|2
1174|NY Jets|1
1175|Cleveland|2
1176|Washington|0
1177|Oakland|1
1178|Atlanta|2
1179|Arizona|2
1180|LA Chargers|3
1181|Green Bay|2
1182|San Francisco|2
1183|Minnesota|2
1184|Kansas City|1
1185|New England|2
1186|New Orleans|1
1187|Chicago|0
1188|NY Jets|1
1189|Minnesota|4
1190|Jacksonville|3
1191|LA Chargers|2
1192|Tampa Bay|3
1193|Pittsburgh|2
1194|Carolina|3
1195|Tennessee|3
1196|Indianapolis|1
1197|Dallas|1
1198|Denver|1
1199|San Francisco|2
1200|Green Bay|1
1201|Oakland|1
1202|Pittsburgh|0
1203|New England|3
1204|Jacksonville|3
1205|Arizona|0
1206|Miami|4
1207|Tennessee|0
1208|Tampa Bay|3
1209|Chicago|4
1210|Atlanta|2
1211|LA Rams|2
1212|Cincinnati|1
1213|Denver|0
1214|NY Giants|1
1215|New Orleans|0
1216|Houston|2
1217|Miami|3
1218|Atlanta|1
1219|Buffalo|2
1220|Oakland|3
1221|Detroit|0
1222|Cleveland|3
1223|Indianapolis|1
1224|Minnesota|2
1225|Kansas City|2
1226|Tennessee|0
1227|LA Rams|1
1228|NY Giants|0
1229|Seattle|1
1230|Carolina|3
1231|Dallas|0
1232|LA Chargers|2
1233|Houston|1
1234|Philadelphia|3
1235|New England|3
1236|San Francisco|4
1237|Buffalo|3
1238|Chicago|1
1239|Washington|2
1240|Seattle|3
1241|NY Jets|2
1242|Kansas City|0
1243|Green Bay|1
1244|New Orleans|3
1245|Arizona|3
1246|Cincinnati|0
1247|Baltimore|6
1248|Tampa Bay|2
1249|Miami|0
1250|Cleveland|2
1251|Indianapolis|4
1252|Minnesota|0
1253|Denver|3
1254|Tennessee|2
1255|Dallas|1
1256|New Orleans|2
1257|NY Giants|3
1258|Arizona|3
1259|New England|2
1260|Oakland|2
1261|Pittsburgh|1
1262|Chicago|1
1263|Atlanta|1
1264|Cleveland|0
1265|Houston|1
1266|NY Jets|3
1267|Jacksonville|1
1268|Baltimore|3
1269|Washington|2
1270|Carolina|0
1271|Detroit|2
1272|Denver|2
1273|Tampa Bay|1
1274|Buffalo|2
1275|Green Bay|2
1276|San Francisco|4
1277|Kansas City|2
1278|LA Rams|1
1279|Philadelphia|1
1280|Denver|0
1281|Detroit|2
1282|Cleveland|1
1283|Buffalo|0
1284|Chicago|1
1285|Indianapolis|0
1286|Pittsburgh|0
1287|NY Jets|3
1288|Jacksonville|0
1289|New Orleans|3
1290|Carolina|0
1291|LA Rams|4
1292|San Francisco|3
1293|Dallas|3
1294|Washington|1
1295|LA Chargers|0
1296|New England|3
1297|Green Bay|1
1298|Kansas City|2
1299|Baltimore|2
1300|Buffalo|4
1301|Philadelphia|4
1302|Indianapolis|3
1303|Atlanta|1
1304|Houston|3
1305|Chicago|1
1306|Tampa Bay|1
1307|Arizona|4
1308|Oakland|5
1309|NY Giants|3
1310|Seattle|2
1311|Cincinnati|2
1312|Philadelphia|2
1313|New England|3
1314|Dallas|2
1315|Baltimore|3
1316|New Orleans|1
1317|Tennessee|3
1318|Cincinnati|1
1319|Washington|2
1320|Carolina|1
1321|Minnesota|2
1322|Miami|2
1323|NY Jets|2
1324|San Francisco|0
1325|Seattle|1
1326|Pittsburgh|3
1327|Denver|3
1328|LA Rams|1
1329|Buffalo|3
1330|Kansas City|1
1331|Houston|2
1332|Tampa Bay|1
1333|Detroit|4
1334|Jacksonville|1
1335|Cleveland|3
1336|Minnesota|3
1337|Tennessee|1
1338|Denver|1
1339|Oakland|1
1340|LA Chargers|3
1341|Atlanta|3
1342|New Orleans|2
1343|Cleveland|3
1344|LA Rams|2
1345|NY Giants|0
1346|Miami|4
1347|Green Bay|5
1348|Chicago|1
1349|Cincinnati|2
1350|Tennessee|2
1351|Indianapolis|2
1352|Arizona|2
1353|Dallas|2
1354|San Francisco|2
1355|Oakland|2
1356|Atlanta|0
1357|Chicago|2
1358|Baltimore|1
1359|Cleveland|1
1360|Buffalo|1
1361|Kansas City|1
1362|NY Jets|2
1363|Tampa Bay|2
1364|Houston|2
1365|Minnesota|1
1366|Denver|0
1367|Seattle|2
1368|San Francisco|3
1369|New England|3
1370|Dallas|1
1371|LA Chargers|4
1372|Arizona|3
1373|Atlanta|1
1374|Miami|1
1375|Detroit|2
1376|Philadelphia|2
1377|Jacksonville|2
1378|Carolina|3
1379|NY Jets|3
1380|Washington|1
1381|Tennessee|1
1382|Pittsburgh|4
1383|Green Bay|2
1384|Kansas City|1
1385|Indianapolis|3
1386|NY Giants|3
1387|Tampa Bay|2
1388|New England|2
1389|New Orleans|2
1390|Kansas City|4
1391|Philadelphia|0
1392|Detroit|1
1393|Jacksonville|1
1394|Oakland|0
1395|Cincinnati|0
1396|Arizona|2
